Date add,Word,Translation,Date of the last training,Training status,Number of training
2022-08-08,lawyer,адвокат,,T,
2022-08-08,leader,лидер,,T,
2022-08-08,learning,изучение,,T,
2022-08-08,lecture,лекция,,T,
2022-08-08,lifestyle,образ жизни,,T,
2022-08-08,lift,поднять,,T,
2022-08-08,light,"свет, лёгкий",2022-08-08,L,1
2022-08-08,likely,скорее всего,,T,
2022-08-08,listener,слушатель,,T,
2022-08-08,lock,запирать,,T,
2022-08-08,lorry,грузовик,,T,
2022-08-08,lost,потерянный,,T,
2022-08-08,loud,громкий,,T,
2022-08-08,loudly,громко,,T,
2022-08-08,lovely,прекрасный,,T,
2022-08-08,luck,везение,,T,
2022-08-08,lucky,счастливый,,T,
2022-08-08,mail,почта,,T,
2022-08-08,major,основной,,T,
2022-08-08,male,мужской,,T,
2022-08-08,manager,менеджер,,T,
2022-08-08,manner,манера,,T,
2022-08-08,mark,отметка,,T,
2022-08-08,marry,жениться,,T,
2022-08-08,mathematics,математика,,T,
2022-08-08,maths,математика,2022-08-12,L,1
2022-08-08,may,может,,T,
2022-08-08,medicine,лекарственное средство,,T,
2022-08-08,metal,металл,,T,
2022-08-08,method,метод,,T,
2022-08-08,middle,середина,,T,
2022-08-08,mind,разум,,T,
2022-08-08,mirror,зеркало,,T,
2022-08-08,missing,отсутствующий,,T,
2022-08-08,mobile,мобильный,,T,
2022-08-08,monkey,обезьяна,,T,
2022-08-08,moon,Луна,,T,
2022-08-08,mostly,в основном,,T,
2022-08-08,movement,движение,2022-08-12,L,1
2022-08-08,musician,музыкант,,T,
2022-08-08,nearly,почти,,T,
2022-08-08,necessary,необходимо,,T,
2022-08-08,need,необходимость,,T,
2022-08-08,nervous,нервный,,T,
2022-08-08,noise,шум,,T,
2022-08-08,noisy,шумный,,T,
2022-08-08,normally,обычно,,T,
2022-08-08,notice,заметить,,T,
2022-08-08,novel,роман,,T,
2022-08-08,nowhere,нигде,,T,
2022-08-08,number,число,,T,
2022-08-08,nut,орех,,T,
2022-08-08,offer,предложить,,T,
2022-08-08,officer,сотрудник,,T,
2022-08-08,oil,масло,,T,
2022-08-08,opportunity,возможность,,T,
2022-08-08,option,вариант,,T,
2022-08-08,organization,организация,,T,
2022-08-08,organize,организовать,,T,
2022-08-08,original,оригинальный,,T,
2022-08-08,oven,печь,,T,
2022-08-08,owner,владелец,,T,
2022-08-08,pack,упаковывать,,T,
2022-08-08,painter,художник,,T,
2022-08-08,pants,штаны,,T,
2022-08-08,parking,автомобильная стоянка,2022-08-12,L,1
2022-08-08,particular,конкретный,,T,
2022-08-08,passenger,пассажир,,T,
2022-08-08,pattern,шаблон,,T,
2022-08-08,peace,мир,,T,
2022-08-08,penny,пенни,,T,
2022-08-08,perform,исполнять,,T,
2022-08-08,perhaps,возможно,,T,
2022-08-08,personality,личность,,T,
2022-08-08,petrol,бензин,,T,
2022-08-08,physics,физика,,T,
2022-08-08,planet,планета,,T,
2022-08-08,plant,сажать,,T,
2022-08-08,plastic,пластиковый,,T,
2022-08-08,plate,тарелка,,T,
2022-08-08,platform,платформа,,T,
2022-08-08,please,угождать,,T,
2022-08-08,pleased,довольный,,T,
2022-08-08,polite,вежливый,,T,
2022-08-08,pop,популярный,2022-08-08,L,1
2022-08-08,population,население,,T,
2022-08-08,possession,владение,,T,
2022-08-08,poster,плакат,,T,
2022-08-08,predict,прогнозировать,,T,
2022-08-08,present,подарок,,T,
2022-08-08,prize,приз,,T,
2022-08-08,professor,профессор,,T,
2022-08-08,promise,обещать,,T,
2022-08-08,protect,защищать,,T,
2022-08-08,pub,паб,,T,
2022-08-08,publish,публиковать,,T,
2022-08-08,purpose,цель,,T,
2022-08-08,push,нажать,,T,
2022-08-08,quality,качественный,,T,
2022-08-08,quantity,количество,,T,
2022-08-08,quietly,тихо,,T,
2022-08-08,race,гонка,,T,
2022-08-08,railway,железнодорожный,,T,
2022-08-08,rate,уровень,,T,
2022-08-08,rather,скорее,,T,
2022-08-08,react,реагировать,,T,
2022-08-08,realize,понимать,,T,
2022-08-08,recently,недавно,,T,
2022-08-08,reception,приём,,T,
2022-08-08,recipe,рецепт,,T,
2022-08-08,recognize,признать,,T,
2022-08-08,record,записывать,,T,
2022-08-08,recording,запись,,T,
2022-08-08,recycle,отдавать в переработку,,T,
2022-08-08,reduce,уменьшить,,T,
2022-08-08,refer,относиться,,T,
2022-08-08,refuse,отказаться,,T,
2022-08-08,region,"область, край",,T,
2022-08-08,regular,регулярный,,T,
2022-08-08,relationship,отношения,,T,
2022-08-08,repair,починить,,T,
2022-08-08,replace,замещать,,T,
2022-08-08,reply,ответить,,T,
2022-08-08,report,докладывать,,T,
2022-08-08,reporter,репортёр,,T,
2022-08-08,research,исследование,,T,
2022-08-08,researcher,исследователь,,T,
2022-08-08,respond,ответить,,T,
2022-08-08,response,ответ,,T,
2022-08-08,rest,"остаток, отдых",,T,
2022-08-08,review,обзор,,T,
2022-08-08,rock,камень,,T,
2022-08-08,role,роль,,T,
2022-08-08,route,маршрут,,T,
2022-08-08,rubbish,мусор,,T,
2022-08-08,rude,грубый,,T,
2022-08-08,runner,бегун,,T,
2022-08-08,running,бег,,T,
2022-08-08,sadly,к сожалению,,T,
2022-08-08,safe,безопасный,,T,
2022-08-08,sail,парус,,T,
2022-08-08,sailing,парусный спорт,,T,
2022-08-08,salary,оплата труда,,T,
2022-08-08,sale,продавать,,T,
2022-08-08,save,спасти,,T,
2022-08-08,scared,напуганный,,T,
2022-08-08,scary,страшный,,T,
2022-08-08,scene,сцена,,T,
2022-08-08,score,вести счет,,T,
2022-08-08,season,время года,,T,
2022-08-08,seat,сиденье,,T,
2022-08-08,second,второй,,T,
2022-08-08,secondly,во-вторых,,T,
2022-08-08,secret,секретный,,T,
2022-08-08,series,сериал,,T,
2022-08-08,serve,обслуживать,,T,
2022-08-08,service,оказание услуг,,T,
2022-08-08,several,несколько,,T,
2022-08-08,sheet,лист,,T,
2022-08-08,side,сторона,,T,
2022-08-08,sign,знак,,T,
2022-08-08,silver,серебряный,,T,
2022-08-08,singing,пение,,T,
2022-08-08,single,единственный,,T,
2022-08-08,sir,сэр,,T,
2022-08-08,site,сайт,,T,
2022-08-08,ski,лыжи,,T,
2022-08-08,skiing,катание на лыжах,,T,
2022-08-08,slowly,медленно,,T,
2022-08-08,smell,пахнуть,,T,
2022-08-08,smile,улыбаться,,T,
2022-08-08,smoking,курение,,T,
2022-08-08,soap,мыло,,T,
2022-08-08,soccer,футбол,,T,
2022-08-08,sock,носок,,T,
2022-08-08,solution,решение,,T,
2022-08-08,solve,решать,,T,
2022-08-08,somewhere,где-то,,T,
2022-08-08,source,источник,,T,
2022-08-08,speaker,оратор,,T,
2022-08-08,specific,конкретный,,T,
2022-08-08,speech,речь,,T,
2022-08-08,spider,паук,,T,
2022-08-08,spoon,ложка,,T,
2022-08-08,stair,ступенька,,T,
2022-08-08,stamp,штамп,,T,
2022-08-08,start,начать,,T,
2022-08-08,steal,украсть,,T,
2022-08-08,stomach,желудок,,T,
2022-08-08,stone,камень,,T,
2022-08-08,storm,гроза,,T,
2022-08-08,straight,прямо,,T,
2022-08-08,strange,странный,,T,
2022-08-08,strategy,стратегия,,T,
2022-08-08,stress,стресс,,T,
2022-08-08,succeed,добиться успеха,,T,
2022-08-08,successful,успешный,,T,
2022-08-08,suddenly,вдруг,,T,
2022-08-08,suggest,предложить,,T,
2022-08-08,surprise,удивление,,T,
2022-08-08,surprised,удивленный,,T,
2022-08-08,surprising,удивительно,,T,
2022-08-08,sweet,сладкий,,T,
2022-08-08,symbol,символ,,T,
2022-08-08,system,система,,T,
2022-08-08,talk,говорить,,T,
2022-08-08,task,задача,2022-08-12,L,1
2022-08-08,taste,вкус,,T,
2022-08-08,teaching,обучение,,T,
2022-08-08,technology,технология,,T,
2022-08-08,teenage,подростковый,2022-08-12,L,1
2022-08-08,thick,толстый,,T,
2022-08-08,thief,вор,,T,
2022-08-08,thinking,мышление,,T,
2022-08-08,third,в-третьих,,T,
2022-08-08,thought,мысль,,T,
2022-08-08,tidy,аккуратный,,T,
2022-08-08,tie,завязать,,T,
2022-08-08,tip,чаевые,,T,
2022-08-08,tool,инструмент,,T,
2022-08-08,top,верх,,T,
2022-08-08,tourism,туризм,,T,
2022-08-08,towel,полотенце,,T,
2022-08-08,tradition,традиция,,T,
2022-08-08,trainer,тренер,2022-08-08,L,1
2022-08-08,training,"обучение, тренировка",,T,
2022-08-08,traveller,путешественник,2022-08-12,L,1
2022-08-08,trouble,проблема,,T,
2022-08-08,truck,грузовая машина,,T,
2022-08-08,twin,близнец,,T,
2022-08-08,typical,типичный,,T,
2022-08-08,underground,подземный,,T,
2022-08-08,understanding,понимание,,T,
2022-08-08,unfortunately,к сожалению,,T,
2022-08-08,unhappy,несчастный,,T,
2022-08-08,uniform,униформа,,T,
2022-08-08,unit,единица,,T,
2022-08-08,United,единый,,T,
2022-08-08,unusual,необычный,,T,
2022-08-08,usual,обычный,,T,
2022-08-08,van,фургон,,T,
2022-08-08,variety,разнообразие,,T,
2022-08-08,vehicle,транспортное средство,,T,
2022-08-08,view,вид,,T,
2022-08-08,voice,голос,,T,
2022-08-08,war,война,,T,
2022-08-08,wash,стирать,,T,
2022-08-08,washing,стирка,,T,
2022-08-08,wedding,свадьба,,T,
2022-08-08,wet,мокрый,,T,
2022-08-08,wheel,руль,,T,
2022-08-08,whose,чей,,T,
2022-08-08,wild,дикий,,T,
2022-08-08,winner,победитель,,T,
2022-08-08,wish,желать,,T,
2022-08-08,wood,дерево,,T,
2022-08-08,working,рабочий,,T,
2022-08-08,worried,обеспокоенный,,T,
2022-08-08,worse,хуже,,T,
2022-08-08,yet,еще,,T,
2022-08-08,zero,ноль,,T,
